       weights:                   circularity   inertiaRatio      convexity      blobColor           area
        (0-255)                           100            255            100             50             --

      FilterBy:          error    circularity   inertiaRatio      convexity      blobColor           area
                             0              1              1              1              1              1

            min              0          0.000          0.000          0.000        250.000          1.000
            max          0.300          1.100          1.100          1.100        255.000        200.000

       Targets:                   circularity   inertiaRatio      convexity      blobColor           area
                                        1.000          1.000          1.000            255             --

         blobNo     TotalError    circularity   inertiaRatio      convexity      blobColor           area       imageXpt       imageYpt
              2         0.4273         0.6430         0.2937         1.0000       255.0000         1.5000       231.7778       285.4444
              3         0.4279         0.5390         0.3333         1.0000       255.0000         1.0000       411.0000       270.3333
              4         0.4385         0.6981         0.2500         1.0000       255.0000         2.0000       542.0000       284.5000
              5         0.5195         0.5715         0.1392         1.0000       255.0000         2.5000       536.7333       255.5333
              6         0.5292         0.4837         0.2525         0.7500       255.0000         1.5000       355.1111       308.2222
              7         0.5586         0.4837         0.0963         1.0000       255.0000         1.5000       623.7778       198.2222
              0         0.3033         0.1348         1.0000         0.3333       255.0000         1.0000       231.5000       285.5000
              1         0.3617         0.6474         0.4220         1.0000       255.0000         3.5000       359.1905       308.2857
              2         0.4279         0.5390         0.3333         1.0000       255.0000         1.0000       411.0000       270.3333
              3         0.4279         0.5390         0.3333         1.0000       255.0000         2.0000       522.6667       271.3333
              4         0.5195         0.5715         0.1392         1.0000       255.0000         2.5000       536.7333       255.5333
              5         0.5195         0.5715         0.1392         1.0000       255.0000         2.5000       541.7333       284.4667
              6         0.5226         0.5390         0.1459         1.0000       255.0000         1.0000       525.5000       234.0000
              7         0.5663         0.4963         0.0761         1.0000       255.0000         3.5000       500.2381       159.4762
              0         0.4279         0.5390         0.3333         1.0000       255.0000         1.0000       411.0000       270.3333
              1         0.4279         0.5390         0.3333         1.0000       255.0000         2.0000       522.6667       271.3333
              2         0.5195         0.5715         0.1392         1.0000       255.0000         2.5000       359.2667       308.5333
              3         0.5195         0.5715         0.1392         1.0000       255.0000         2.5000       536.7333       255.5333
              4         0.5195         0.5715         0.1392         1.0000       255.0000         2.5000       541.7333       284.4667
              5         0.5362         0.3429         0.2937         0.7500       255.0000         1.5000       231.7778       285.4444
              6         0.5622         0.5390         0.1459         1.0000       253.0000         1.0000       211.0000       107.5000
              7         0.5663         0.4963         0.0761         1.0000       255.0000         3.5000       500.2381       159.4762
              0         0.3617         0.6474         0.4220         1.0000       255.0000         3.5000       359.1905       308.2857
              1         0.4273         0.6430         0.2937         1.0000       255.0000         3.0000       522.7778       271.6667
              2         0.4279         0.5390         0.3333         1.0000       255.0000         1.0000       592.0000       211.3333
              3         0.4279         0.5390         0.3333         1.0000       255.0000         1.0000       411.0000       270.3333
              4         0.5195         0.5715         0.1392         1.0000       255.0000         2.5000       536.7333       255.5333
              5         0.5195         0.5715         0.1392         1.0000       255.0000         2.5000       541.7333       284.4667
              6         0.5362         0.3429         0.2937         0.7500       255.0000         1.5000       231.7778       285.4444
              7         0.5663         0.4963         0.0761         1.0000       255.0000         3.5000       500.2381       159.4762
              0         0.3617         0.6474         0.4220         1.0000       255.0000         3.5000       359.1905       308.2857
              1         0.4279         0.5390         0.3333         1.0000       255.0000         1.0000       411.0000       270.3333
              2         0.4279         0.5390         0.3333         1.0000       255.0000         2.0000       522.6667       271.3333
              3         0.5069         0.5614         0.2441         0.8065       255.0000        12.5000       382.7467       261.2267
              4         0.5195         0.5715         0.1392         1.0000       255.0000         2.5000       536.7333       255.5333
              5         0.5195         0.5715         0.1392         1.0000       255.0000         2.5000       541.7333       284.4667
              6         0.5586         0.4837         0.0963         1.0000       255.0000         1.5000       623.7778       198.2222
              7         0.5663         0.4963         0.0761         1.0000       255.0000         3.5000       500.2381       159.4762
              0         0.3617         0.6474         0.4220         1.0000       255.0000         3.5000       359.1905       308.2857
              1         0.4273         0.6430         0.2937         1.0000       255.0000         3.0000       522.7778       271.6667
              2         0.4279         0.5390         0.3333         1.0000       255.0000         1.0000       411.0000       270.3333
              3         0.4385         0.6981         0.2500         1.0000       255.0000         2.0000       542.0000       284.5000
              4         0.5195         0.5715         0.1392         1.0000       255.0000         2.5000       536.7333       255.5333
              5         0.5586         0.4837         0.0963         1.0000       255.0000         1.5000       623.7778       198.2222
              6         0.5663         0.4963         0.0761         1.0000       255.0000         3.5000       500.2381       159.4762
              7         0.6009         0.2831         0.2441         0.6098       255.0000        12.5000       382.7467       261.2267
              0         0.4279         0.5390         0.3333         1.0000       255.0000         1.0000       592.0000       211.3333
              1         0.4279         0.5390         0.3333         1.0000       255.0000         2.0000       522.6667       271.3333
              2         0.5069         0.5614         0.2441         0.8065       255.0000        12.5000       382.7467       261.2267
              3         0.5195         0.5715         0.1392         1.0000       255.0000         2.5000       536.7333       255.5333
              4         0.5195         0.5715         0.1392         1.0000       255.0000         2.5000       541.7333       284.4667
              5         0.5226         0.5390         0.1459         1.0000       255.0000         1.0000       525.5000       234.0000
              6         0.5226         0.5390         0.1459         1.0000       255.0000         2.0000       359.5000       308.5000
              7         0.5362         0.3429         0.2937         0.7500       255.0000         1.5000       231.7778       285.4444
              0         0.4279         0.5390         0.3333         1.0000       255.0000         1.0000       411.0000       270.3333
              1         0.4279         0.5390         0.3333         1.0000       255.0000         2.0000       522.6667       271.3333
              2         0.5195         0.5715         0.1392         1.0000       255.0000         2.5000       359.2667       308.5333
              3         0.5195         0.5715         0.1392         1.0000       255.0000         2.5000       536.7333       255.5333
              4         0.5195         0.5715         0.1392         1.0000       255.0000         2.5000       541.7333       284.4667
              5         0.5195         0.5715         0.1392         1.0000       255.0000         2.5000       232.2667       285.4667
              6         0.5226         0.5390         0.1459         1.0000       255.0000         1.0000       524.0000       245.5000
              7         0.5663         0.4963         0.0761         1.0000       255.0000         3.5000       500.2381       159.4762
              0         0.4279         0.5390         0.3333         1.0000       255.0000         1.0000       411.0000       270.3333
              1         0.4279         0.5390         0.3333         1.0000       255.0000         2.0000       522.6667       271.3333
              2         0.4279         0.5390         0.3333         1.0000       255.0000         2.0000       359.6667       308.3333
              3         0.5195         0.5715         0.1392         1.0000       255.0000         2.5000       536.7333       255.5333
              4         0.5226         0.5390         0.1459         1.0000       255.0000         1.0000       525.0000       275.5000
              5         0.5663         0.4963         0.0761         1.0000       255.0000         3.5000       500.2381       159.4762
              6         0.6009         0.2831         0.2441         0.6098       255.0000        12.5000       382.7467       261.2267
              7         0.6107         0.3841         0.0322         1.0000       255.0000         5.5000       257.4848       167.2424
              0         0.0425         0.7854         1.0000         1.0000       255.0000         1.0000       231.5000       285.5000
              1         0.4279         0.5390         0.3333         1.0000       255.0000         1.0000       411.0000       270.3333
              2         0.4279         0.5390         0.3333         1.0000       255.0000         2.0000       522.6667       271.3333
              3         0.5195         0.5715         0.1392         1.0000       255.0000         2.5000       359.2667       308.5333
              4         0.5195         0.5715         0.1392         1.0000       255.0000         2.5000       536.7333       255.5333
              5         0.5195         0.5715         0.1392         1.0000       255.0000         2.5000       541.7333       284.4667
              6         0.5663         0.4963         0.0761         1.0000       255.0000         3.5000       500.2381       159.4762
              7         0.5912         0.2143         0.3333         0.5000       255.0000         1.0000       254.3333       213.0000
              0         0.2437         0.2695         1.0000         0.5000       255.0000         1.0000       231.5000       271.5000
              1         0.3617         0.6474         0.4220         1.0000       255.0000         3.5000       359.1905       308.2857
