       weights:                   circularity   inertiaRatio      convexity      blobColor           area
        (0-255)                           200              0            100            255             --

      FilterBy:          error    circularity   inertiaRatio      convexity      blobColor           area
                             0              1              1              1              1              1

            min              0          0.050          0.050          0.050        250.000          1.000
            max          0.800          1.100          1.100          1.100        255.000        200.000

       Targets:                   circularity   inertiaRatio      convexity      blobColor           area
                                        1.000          1.000          1.000            255             --

         blobNo     TotalError    circularity   inertiaRatio      convexity      blobColor           area       imageXpt       imageYpt
              0         0.3459         0.6252         0.2159         0.8500       253.0000         8.5000       473.0980       475.9216
              0         0.2611         0.7854         1.0000         1.0000       253.0000         1.0000       376.5000       467.5000
              1         0.3218         0.6588         0.2402         0.9167       253.0000        11.0000       473.2424       475.5000
              0         0.3334         0.6474         0.5377         0.8750       253.0000         3.5000       632.3810       467.0952
              1         0.3345         0.6588         0.4506         0.8462       253.0000        11.0000       473.2273       475.5455
              2         0.3530         0.7854         1.0000         1.0000       252.0000         1.0000       444.5000       466.5000
              0         0.3124         0.6430         0.2937         1.0000       253.0000         1.5000       376.4444       468.2222
              1         0.3402         0.6449         0.2716         0.8421       253.0000         8.0000       473.1875       476.0000
              2         0.4418         0.5390         0.1459         1.0000       252.0000         1.0000       632.0000       467.5000
              3         0.4418         0.5390         0.1459         1.0000       252.0000         2.0000       444.5000       467.5000
              0         0.3477         0.8001         0.6283         1.0000       252.0000         3.5000       376.9048       468.0952
              1         0.4975         0.4781         0.1501         0.8125       252.0000         6.5000       472.6154       475.4872
              0         0.3124         0.6430         0.2937         1.0000       253.0000         3.0000       376.3333       468.2222
              1         0.3169         0.6987         0.7230         0.8636       253.0000         9.5000       473.1930       475.5439
              0         0.3007         0.7255         0.3778         0.9000       253.0000         9.0000       473.1667       476.1667
              1         0.3845         0.6981         0.2500         1.0000       252.0000         2.0000       377.0000       468.5000
              2         0.3859         0.5390         0.6389         0.8000       253.0000         2.0000       444.3333       467.2500
              3         0.4043         0.6430         0.2937         1.0000       252.0000         1.5000       430.5556        85.7778
              0         0.1962         0.7398         0.3749         0.9412       254.0000         8.0000       472.6458       475.0625
              1         0.3530         0.7854         1.0000         1.0000       252.0000         1.0000       376.5000       467.5000
              2         0.3845         0.6981         0.2500         1.0000       252.0000         2.0000       632.5000       467.0000
              0         0.3124         0.6430         0.2937         1.0000       253.0000         1.5000       376.4444       468.2222
              1         0.4531         0.4192         0.3596         0.6667       253.0000         7.0000       473.0000       475.1429
              0         0.3459         0.6252         0.2964         0.8500       253.0000         8.5000       472.7451       476.1569
              1         0.3499         0.5390         0.1833         1.0000       253.0000         2.0000       376.5000       468.5833
              2         0.3530         0.7854         1.0000         1.0000       252.0000         1.0000       444.5000       467.5000
              3         0.4418         0.5390         0.1459         1.0000       252.0000         1.0000       632.5000       468.0000
              0         0.1327         0.8868         0.4566         1.0000       254.0000        11.0000       473.0000       476.0000
              1         0.3124         0.6430         0.2937         1.0000       253.0000         1.5000       632.2222       467.4444
              0         0.1433         0.8574         0.6000         1.0000       254.0000         4.0000       376.5000       468.0000
              1         0.2881         0.7398         0.3749         0.9412       253.0000         8.0000       472.6458       475.0625
              0         0.2442         0.8323         0.4725         1.0000       253.0000         4.5000       376.6296       468.0741
              1         0.3124         0.6430         0.2937         1.0000       253.0000         1.5000       444.7778       466.5556
              2         0.3175         0.6288         0.3771         1.0000       253.0000         7.5000       472.8000       475.4000
              0         0.2528         0.8085         0.8222         1.0000       253.0000         3.0000       376.7778       468.0000
              1         0.3137         0.6830         0.4549         0.9130       253.0000        10.5000       472.8889       475.0159
              2         0.4043         0.6430         0.2937         1.0000       252.0000         1.5000       444.5556       466.7778
              3         0.4778         0.5390         0.6389         0.8000       252.0000         2.0000       632.7500       466.6667
              0         0.3682         0.5715         0.3696         0.8333       253.0000         2.5000       376.6667       468.1333
              1         0.3904         0.5516         0.4432         0.7500       253.0000         7.5000       473.1111       475.8222
              0         0.2528         0.8085         0.8222         1.0000       253.0000         3.0000       376.7778       468.0000
              1         0.3606         0.5450         0.2256         0.9286       253.0000         6.5000       472.9487       475.5897
              0         0.3124         0.6430         0.2937         1.0000       253.0000         1.5000       376.7778       468.5556
              1         0.3499         0.5390         0.3333         1.0000       253.0000         1.0000       632.0000       467.3333
              2         0.3892         0.7127         0.2777         0.9444       252.0000         8.5000       472.7451       475.7843
              3         0.4043         0.6430         0.2937         1.0000       252.0000         1.5000       520.5556        97.7778
              0         0.3124         0.6430         0.2937         1.0000       253.0000         1.5000       376.4444       468.2222
              1         0.3334         0.6474         0.5377         0.8750       253.0000         3.5000       444.6190       467.0952
              2         0.3334         0.6474         0.3687         0.8750       253.0000         7.0000       472.8095       475.6429
              3         0.4290         0.4624         0.5023         0.7143       253.0000         2.5000       633.1333       468.1333
              0         0.2528         0.8085         0.8222         1.0000       253.0000         3.0000       376.7778       468.0000
              1         0.3530         0.7854         1.0000         1.0000       252.0000         1.0000       444.5000       466.5000
              2         0.4379         0.6179         0.2927         0.8636       252.0000         9.5000       473.2456       475.6491
              3         0.4418         0.5390         0.3333         1.0000       252.0000         2.0000       632.3333       467.6667
              0         0.2528         0.8085         0.8222         1.0000       253.0000         3.0000       376.7778       468.0000
              1         0.3530         0.7854         1.0000         1.0000       252.0000         1.0000       514.5000        57.5000
              2         0.3644         0.5989         0.3414         0.8000       253.0000        10.0000       473.1500       475.6500
              3         0.4418         0.5390         0.3333         1.0000       252.0000         1.0000       633.0000       468.3333
              0         0.3095         0.6987         0.3769         0.9048       253.0000         9.5000       472.9123       475.8070
              1         0.4043         0.6430         0.2937         1.0000       252.0000         1.5000       376.4444       468.2222
              0         0.2528         0.8085         0.8222         1.0000       253.0000         3.0000       445.0000       467.2222
              1         0.3109         0.6474         0.4220         1.0000       253.0000         3.5000       376.1905       468.2857
              2         0.3802         0.5549         0.2917         0.8000       253.0000         6.0000       472.7778       475.8333
              3         0.4043         0.6430         0.2937         1.0000       252.0000         1.5000       520.4444        76.7778
              0         0.2095         0.6987         0.2115         0.9500       254.0000         9.5000       472.6667       475.5614
              1         0.3859         0.5390         0.6389         0.8000       253.0000         2.0000       376.6667       468.2500
              2         0.5209         0.4624         0.5023         0.7143       252.0000         2.5000       444.1333       466.8667
              0         0.3682         0.5715         0.3696         0.8333       253.0000         2.5000       376.6667       468.1333
